ProjectName,LayerCategory,CategoryID,Board,MeetingFormat,MeetingType,MeetingDate,ArcGIS_Date,MeetingYear,Status,AgendaItemID,AgendaItemNumber,AgendaItemType,ProjectTitle,Summary,ActionTaken,Outcome,MotionText,ProposedBy,SecondedBy,VoteResult,ApplicantName,ApplicationID,District,LocationName,Location,Latitude,Longitude,GeocodeConfidence,StaffCode,Filename,Document_Link,RecordType,LocationSeq,IsPrimary,ParcelID
Corkscrew Road,"Meetings, Records & Public Input",8,Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2021-09-28,2021-09-28,2021,Accepted,1669,6,Public Comment,"Brightwork Real Estate (District 5) 10081 Estero Town Commons Place, located on the south side of Corkscrew Road on the parcel previously occupied by Ruby Tuesday in Estero Commons (Lowe's). Zoning Amendment and Deviation to allow a convenience st...","Brightwork Real Estate (District 5) 10081 Estero Town Commons Place, located on the south side of Corkscrew Road on the parcel previously occupied by Ruby Tuesday in Estero Commons (Lowe's). Zoning Amendment and Deviation to allow a convenience store with. Action: No formal action recorded. Brightwork Real Estate (District 5) 10081 Estero Town Commons Place, located on the south side of Corkscrew Road on the parcel previously occupied by Ruby Tuesday in Estero Commons (Lowe's). Zoning Amendme...","No formal action recorded. Brightwork Real Estate (District 5) 10081 Estero Town Commons Place, located on the south side of Corkscrew Road on the parcel previously occupied by Ruby Tuesday in Estero Commons (Lowe's). Zoning Amendment and Deviation to allow a convenience store with gas pumps on a 2.6 acre outparcel. Staff Presentation/Comments: Mary Gibbs, Community Development Director Presentation/Information by: Daniel DeLisi, AICP, DeLisi, Inc Public Comment: eComments: Nancy Hamlin, Grandezza Patrick McGarry, Spring Ridge Board Questions or Comments: Board Members Naratil, Sheeley, Tatooles, Wallace, Jeannin, Gargano, and Chairman Wood","No formal action recorded. Brightwork Real Estate (District 5) 10081 Estero Town Commons Place, located on the south side of Corkscrew Road on the parcel previously occupied by Ruby Tuesday in Estero Commons (Lowe's). Zoning Amendment and Deviation to allow a convenience store with gas pumps on a 2.6 acre outparcel. Staff Presentation/Comments: Mary Gibbs, Community Development Director Presentation/Information by: Daniel DeLisi, AICP, DeLisi, Inc Public Comment: eComments: Nancy Hamlin, Grandezza Patrick McGarry, Spring Ridge Board Questions or Comments: Board Members Naratil, Sheeley, Tatooles, Wallace, Jeannin, Gargano, and Chairman Wood",,,,,,,5,10081 ESTERO TOWN COMMONS PL,10081 ESTERO TOWN COMMONS PL,26.43076631928911,-81.78522309388235,0.98,null,09282021 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2021%20Minutes/PZDB%20Minutes/09282021%20PZDB%20Minutes.pdf,AgendaItemLocation,1,true,354625E1390000020
Corkscrew Road,"Meetings, Records & Public Input",8,Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2025-03-11,2025-03-11,2025,Pending,362,6,Public Comment,"Discount Tire - Development Order (DOS2025-E002) (District 4) 10411 Corkscrew Commons Drive, a vacant 1-acre site located in Estero Interstate Commerce Park, fronting Corkscrew Road and situated between Rib City and Mr. Tequila","Discount Tire - Development Order (DOS2025-E002) (District 4) 10411 Corkscrew Commons Drive, a vacant 1-acre site located in Estero Interstate Commerce Park, fronting Corkscrew Road and situated between Rib City and Mr. Tequila. Action: No formal action recorded. Discount Tire - Development Order (DOS2025-E002) (District 4) 10411 Corkscrew Commons Drive, a vacant 1-acre site located in Estero Interstate Commerce Park, fronting Corkscrew Road and situated between Rib City and Mr. Tequila. Staf...","No formal action recorded. Discount Tire - Development Order (DOS2025-E002) (District 4) 10411 Corkscrew Commons Drive, a vacant 1-acre site located in Estero Interstate Commerce Park, fronting Corkscrew Road and situated between Rib City and Mr. Tequila. Staff Presentation/Comments Mary Gibbs, Community Development Director Christopher Baker, Assistant Community Development Director Presentation/Information by Erick Castillo, BL Companies - Civil Engineer Design Firm Board Questions or Comments Wallace, Jones, Tatooles, Vice Chairman Sheeley, and Chairman Gargano. Public Comment None","No formal action recorded. Discount Tire - Development Order (DOS2025-E002) (District 4) 10411 Corkscrew Commons Drive, a vacant 1-acre site located in Estero Interstate Commerce Park, fronting Corkscrew Road and situated between Rib City and Mr. Tequila. Staff Presentation/Comments Mary Gibbs, Community Development Director Christopher Baker, Assistant Community Development Director Presentation/Information by Erick Castillo, BL Companies - Civil Engineer Design Firm Board Questions or Comments Wallace, Jones, Tatooles, Vice Chairman Sheeley, and Chairman Gargano. Public Comment None",,,,,,DOS2025-E002,4,10411 CORKSCREW COMMONS DR,10411 CORKSCREW COMMONS DR,26.43209160703068,-81.78142473104408,0.98,null,03112025 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/PZDB/03112025%20PZDB%20Minutes.pdf,AgendaItemLocation,1,true,354625E1300000060
Corkscrew Road,"Meetings, Records & Public Input",8,Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2025-05-13,2025-05-13,2025,Pending,758,5,Public Comment,"Discount Tire - Development Order (DOS2025-E002) (District 4) 10411 Corkscrew Commons Drive, a vacant 1-acre site located in Estero Interstate Commerce Park, fronting Corkscrew Road and situated between Rib City and Mr. Tequila","Discount Tire - Development Order (DOS2025-E002) (District 4) 10411 Corkscrew Commons Drive, a vacant 1-acre site located in Estero Interstate Commerce Park, fronting Corkscrew Road and situated between Rib City and Mr. Tequila. Action: No formal action recorded. Discount Tire - Development Order (DOS2025-E002) (District 4) 10411 Corkscrew Commons Drive, a vacant 1-acre site located in Estero Interstate Commerce Park, fronting Corkscrew Road and situated between Rib City and Mr. Tequila. Staf...","No formal action recorded. Discount Tire - Development Order (DOS2025-E002) (District 4) 10411 Corkscrew Commons Drive, a vacant 1-acre site located in Estero Interstate Commerce Park, fronting Corkscrew Road and situated between Rib City and Mr. Tequila. Staff Presentation/Comments Mary Gibbs, Community Development Director Presentation/Information by Marshay Ryan, BL Companies Public Comment None Board Questions or Comments Board Members Jeannin, Jones, Paivandy, Vice Chairman Sheeley and Chairman Gargano","No formal action recorded. Discount Tire - Development Order (DOS2025-E002) (District 4) 10411 Corkscrew Commons Drive, a vacant 1-acre site located in Estero Interstate Commerce Park, fronting Corkscrew Road and situated between Rib City and Mr. Tequila. Staff Presentation/Comments Mary Gibbs, Community Development Director Presentation/Information by Marshay Ryan, BL Companies Public Comment None Board Questions or Comments Board Members Jeannin, Jones, Paivandy, Vice Chairman Sheeley and Chairman Gargano",,,,,,DOS2025-E002,4,10411 CORKSCREW COMMONS DR,10411 CORKSCREW COMMONS DR,26.43209160703068,-81.78142473104408,0.98,null,05132025 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/PZDB/05132025%20PZDB%20Minutes.pdf,AgendaItemLocation,1,true,354625E1300000060
Corkscrew Road,"Meetings, Records & Public Input",8,Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2025-11-18,2025-11-18,2025,Pending,2065,3,Vote,"Discount Tire - Development Order (DOS2025-E002) (District 4) 10411 Corkscrew Commons Drive, a vacant 1-acre site located in Estero Interstate Commerce Park, fronting Corkscrew Road and between Rib City and Mr. Tequila. The applicant seeks to cons...","Discount Tire - Development Order (DOS2025-E002) (District 4) 10411 Corkscrew Commons Drive, a vacant 1-acre site located in Estero Interstate Commerce Park, fronting Corkscrew Road and between Rib City and Mr. Tequila. The applicant seeks to construct a7. Action: Approved the Development Order with staff stipulations and the correction of the hours of operation",Approved the Development Order with staff stipulations and the correction of the hours of operation,Approved the Development Order with staff stipulations and the correction of the hours of operation,Approved the Development Order with staff stipulations and the correction of the hours of operation,,,See minutes,,DOS2025-E002,4,10411 CORKSCREW COMMONS DR,10411 CORKSCREW COMMONS DR,26.43209160703068,-81.78142473104408,0.98,null,11182025 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/PZDB/11182025%20PZDB%20Minutes.pdf,AgendaItemLocation,1,true,354625E1300000060
Corkscrew Road,"Meetings, Records & Public Input",8,Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2023-07-11,2023-07-11,2023,Accepted,1198,2,Vote,"Estero Bay Chevrolet Auto Dealership Lighting Upgrade - Deviation (LDO2023 TBD) (District 5) Continued from June 13, meeting. 10640 Chevrolet Way located south of Corkscrew Road, next to the I-75 southbound entrance ramp and north of Corkscrew Woo...","Estero Bay Chevrolet Auto Dealership Lighting Upgrade - Deviation (LDO2023 TBD) (District 5) Continued from June 13, meeting. 10640 Chevrolet Way located south of Corkscrew Road, next to the I-75 southbound entrance ramp and north of Corkscrew Woodlands. . Action: Approved deviation from Section 5-604 E1 for 4000K lighting on the basis that it will be an improvement to the adjacent residents, and the current situation was not created by the applicant","Approved deviation from Section 5-604 E1 for 4000K lighting on the basis that it will be an improvement to the adjacent residents, and the current situation was not created by the applicant","Approved deviation from Section 5-604 E1 for 4000K lighting on the basis that it will be an improvement to the adjacent residents, and the current situation was not created by the applicant","Approved deviation from Section 5-604 E1 for 4000K lighting on the basis that it will be an improvement to the adjacent residents, and the current situation was not created by the applicant",,,See minutes,June 13,,5,10640 CHEVROLET WAY,10640 CHEVROLET WAY,26.430182136164337,-81.77888336722721,0.98,null,07112023 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/PZDB/07112023%20PZDB%20Minutes.pdf,AgendaItemLocation,1,true,354625E23200F0000
Corkscrew Road,"Meetings, Records & Public Input",8,Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2023-06-13,2023-06-13,2023,Accepted,969,1,Vote,"RiverCreek Recreation Site - Development Order (DOS2023-E003) (District 7) 12840 Corkscrew Road and 20161 Camellia Crosse Lane Applicant seeks approval of the recreational campus located on Tract ""A"". Recreational amenities include a 14,546 S.F. c...","RiverCreek Recreation Site - Development Order (DOS2023-E003) (District 7) 12840 Corkscrew Road and 20161 Camellia Crosse Lane Applicant seeks approval of the recreational campus located on Tract ""A"". Recreational amenities include a 14,546 S.F. clubhouse. Action: Approved the Development Order with the staff conditions",Approved the Development Order with the staff conditions,Approved the Development Order with the staff conditions,Approved the Development Order with the staff conditions,,,See minutes,,DOS2023-E003,7,12840 Corkscrew Road,"12840 Corkscrew Road, Estero, FL",26.449146368339,-81.742899851451,1.0,null,06132023 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/PZDB/06132023%20PZDB%20Minutes.pdf,AgendaItemLocation,1,true,
Estero Country Club Pickleball Limited Development Order (LDO2024-E041) (District 3) 19501 Vintage Trace Circle - The courts are in the southwest portion of the Vines Development and east of the clubhouse. sworn in by Land Use Attorney Stroud. App...,"Meetings, Records & Public Input",8,Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2025-01-14,2025-01-14,2025,Pending,75,2,Vote,Estero Country Club Pickleball Limited Development Order (LDO2024-E041) (District 3) 19501 Vintage Trace Circle - The courts are in the southwest portion of the Vines Development and east of the clubhouse. sworn in by Land Use Attorney Stroud. App...,Estero Country Club Pickleball Limited Development Order (LDO2024-E041) (District 3) 19501 Vintage Trace Circle - The courts are in the southwest portion of the Vines Development and east of the clubhouse. sworn in by Land Use Attorney Stroud. Applicant i. Action: Approved Limited Development Order with the staff conditions and the requested deviations,Approved Limited Development Order with the staff conditions and the requested deviations,Approved Limited Development Order with the staff conditions and the requested deviations,Approved Limited Development Order with the staff conditions and the requested deviations,,,See minutes,,LDO2024-E041,3,19501 Vintage Trace Circle,"19501 Vintage Trace Circle, Estero, FL",26.456810676705,-81.814442026342,1.0,null,01142025 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/PZDB/01142025%20PZDB%20Minutes.pdf,AgendaItemLocation,1,true,
Corkscrew Road,"Meetings, Records & Public Input",8,Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2023-06-13,2023-06-13,2023,Accepted,969,1,Vote,"RiverCreek Recreation Site - Development Order (DOS2023-E003) (District 7) 12840 Corkscrew Road and 20161 Camellia Crosse Lane Applicant seeks approval of the recreational campus located on Tract ""A"". Recreational amenities include a 14,546 S.F. c...","RiverCreek Recreation Site - Development Order (DOS2023-E003) (District 7) 12840 Corkscrew Road and 20161 Camellia Crosse Lane Applicant seeks approval of the recreational campus located on Tract ""A"". Recreational amenities include a 14,546 S.F. clubhouse. Action: Approved the Development Order with the staff conditions",Approved the Development Order with the staff conditions,Approved the Development Order with the staff conditions,Approved the Development Order with the staff conditions,,,See minutes,,DOS2023-E003,7,20161 Camellia Crosse Lane,"20161 Camellia Crosse Lane, Estero, FL",26.446950624905,-81.741493233359,1.0,null,06132023 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/PZDB/06132023%20PZDB%20Minutes.pdf,AgendaItemLocation,2,false,
Corkscrew Road,"Meetings, Records & Public Input",8,Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2024-05-14,2024-05-14,2024,Accepted,761,3,Vote,"Wildcat Run Pickleball- Limited Development Order (LDO2024-E002) (District 7) 20300 Country Club Drive, south of Corkscrew Road and immediately west of RiverCreek. Applicant is seeking to renovate 1 of the 5 existing tennis courts into 4 new pickl...","Wildcat Run Pickleball- Limited Development Order (LDO2024-E002) (District 7) 20300 Country Club Drive, south of Corkscrew Road and immediately west of RiverCreek. Applicant is seeking to renovate 1 of the 5 existing tennis courts into 4 new pickleball co. Action: Approved the Limited Development Order with staff stipulations",Approved the Limited Development Order with staff stipulations,Approved the Limited Development Order with staff stipulations,Approved the Limited Development Order with staff stipulations,,,See minutes,,LDO2024-E002,7,20300 COUNTRY CLUB DR,20300 COUNTRY CLUB DR,26.435736902147063,-81.74958822940889,0.98,null,05142024 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/PZDB/05142024%20PZDB%20Minutes.pdf,AgendaItemLocation,1,true,304626E40100A00CE
"Wildcat Run Pickleball- Limited Development Order (LDO 2024-E002) (District 7) 20300 Country Club Drive, south of Corkscrew Drive and immediately east of RiverCreek Applicant is seeking to renovate 1 of the 5 existing tennis courts into new pickle...","Meetings, Records & Public Input",8,Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2024-04-09,2024-04-09,2024,Accepted,548,4,Public Comment,"Wildcat Run Pickleball- Limited Development Order (LDO 2024-E002) (District 7) 20300 Country Club Drive, south of Corkscrew Drive and immediately east of RiverCreek Applicant is seeking to renovate 1 of the 5 existing tennis courts into new pickle...","Wildcat Run Pickleball- Limited Development Order (LDO 2024-E002) (District 7) 20300 Country Club Drive, south of Corkscrew Drive and immediately east of RiverCreek Applicant is seeking to renovate 1 of the 5 existing tennis courts into new pickleball cou. Action: No formal action recorded. Wildcat Run Pickleball- Limited Development Order (LDO 2024-E002) (District 7) 20300 Country Club Drive, south of Corkscrew Drive and immediately east of RiverCreek Applicant is seeking to renovate 1 of th...","No formal action recorded. Wildcat Run Pickleball- Limited Development Order (LDO 2024-E002) (District 7) 20300 Country Club Drive, south of Corkscrew Drive and immediately east of RiverCreek Applicant is seeking to renovate 1 of the 5 existing tennis courts into new pickleball courts. These courts are south of the clubhouse in the center of the development. Staff Presentation/Comments Mary Gibbs, Community Development Director Presentation/Information by Tyler P. Bonnough, PE, Hole Montes, A BOWMAN Company Board Questions or Comments  Board Members Wallace, Jones, Jeannin, and Chairman Wood Public Comment None","No formal action recorded. Wildcat Run Pickleball- Limited Development Order (LDO 2024-E002) (District 7) 20300 Country Club Drive, south of Corkscrew Drive and immediately east of RiverCreek Applicant is seeking to renovate 1 of the 5 existing tennis courts into new pickleball courts. These courts are south of the clubhouse in the center of the development. Staff Presentation/Comments Mary Gibbs, Community Development Director Presentation/Information by Tyler P. Bonnough, PE, Hole Montes, A BOWMAN Company Board Questions or Comments  Board Members Wallace, Jones, Jeannin, and Chairman Wood Public Comment None",,,,,,LDO 2024-E002,7,20300 COUNTRY CLUB DR,20300 COUNTRY CLUB DR,26.435736902147063,-81.74958822940889,0.98,null,04092024 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/PZDB/04092024%20PZDB%20Minutes.pdf,AgendaItemLocation,1,true,304626E40100A00CE
