candidate_id,item_id,meeting_id,location_id,candidate_name,candidate_address,candidate_source,arcgis_query,evidence,review_status
1,65,8,50,10500 Corkscrew Road,"10500 Corkscrew Road, Estero, FL",address_regex,"10500 Corkscrew Road, Estero, FL","No formal action recorded. Estero Crossing Residential Development Order (DOS2020-E007) (District 5) 10500 Corkscrew Road, ±43-acre site (total project size) located on the south side of Corkscrew Road, 1,000 feet west of Corkscrew Road and I-75 intersection. Staff Presentation/Comments: Mary Gibbs, Community Development Director Presentation/Information by: John Wojdak, DeLisi Fitzgerald Gerard Nadeau, Charlan Brock Architects Public Comment: None. Board Questions or Comments: Board Members Wal",Needs Geocode
2,70,9,50,10500 Corkscrew Road,"10500 Corkscrew Road, Estero, FL",address_regex,"10500 Corkscrew Road, Estero, FL","No formal action recorded. Estero Crossing Residential Development Order (DOS2020-E007) (District 5) 10500 Corkscrew Road, ±43-acre site (total project size) located on the south side of Corkscrew Road, 1,000 feet west of Corkscrew Road and I-75 intersection. Staff Presentation/Comments: Mary Gibbs, Community Development Director Presentation/Information by: John Wojdak, DeLisi Fitzgerald Gerard Nadeau, Charlan Brock Architects Public Comment: None. Board Questions or Comments: Board Members Wal",Needs Geocode
3,72,10,52,9201 and 9301 Corkscrew Road,"9201 and 9301 Corkscrew Road, Estero, FL",address_regex,"9201 and 9301 Corkscrew Road, Estero, FL","Continued deliberations to 9:00 a.m. on January 20, 2016",Needs Geocode
4,75,12,56,19501 Vintage Trace Circle,"19501 Vintage Trace Circle, Estero, FL",address_regex,"19501 Vintage Trace Circle, Estero, FL",Approved Limited Development Order with the staff conditions and the requested deviations,Needs Geocode
5,78,13,58,23050 Via Villagio,"23050 Via Villagio, Estero, FL",address_regex,"23050 Via Villagio, Estero, FL",Approved request for outdoor Consumption on Premises with staff stipulations,Needs Geocode
6,97,15,62,9170 Estero River Ct,"9170 Estero River Ct, Estero, FL",address_regex,"9170 Estero River Ct, Estero, FL","Adopted the lien mitigation request from DK Realty Group-Sub, LLC releasing any outstanding liens against the Property in exchange for payment of a reduced fine of $49,000.00 and $296.85 for administrative costs",Needs Geocode
7,150,21,71,4410 Coconut Road,"4410 Coconut Road, Estero, FL",address_regex,"4410 Coconut Road, Estero, FL",Adopted Ordinance 2020-07,Needs Geocode
8,355,52,95,8900 Commons Way,"8900 Commons Way, Estero, FL",address_regex,"8900 Commons Way, Estero, FL","No formal action recorded. Benjamin S. MacFarland/SROA Corkscrew Village (DOS2025-E008) (District 6) 8900 Commons Way, a ± 5-acre site in the South Estero Commercial Center, located east of US 41 and south of Corkscrew Road, south of the Publix Shopping Center. Applicant seeks a Development Order to construct a two-story, 75,910 square foot storage building as the final phase of a pre-existing self-storage facility. were sworn in by Land Use Attorney Augello.  Staff Presentation/Comments Mary Gi",Needs Geocode
9,561,82,50,10500 Corkscrew Road,"10500 Corkscrew Road, Estero, FL",address_regex,"10500 Corkscrew Road, Estero, FL","No formal action recorded. Development Order - Estero Crossing Commercial Building #1 (Dunkin) (D.O. # TBD) (District 5) 10500 Corkscrew Road Last building in Estero Crossing's commercial area located on the south side of Corkscrew Road, 1,000 feet west of Corkscrew Road and I-75 intersection. Applicant proposing a4,700 square foot building consisting of retail spaces with 1 drive-thru at the southern end of the building. Staff Presentation/Comments Mary Gibbs, Community Development Director Pre",Needs Geocode
10,739,103,131,12840 Corkscrew Road,"12840 Corkscrew Road, Estero, FL",address_regex,"12840 Corkscrew Road, Estero, FL","No formal action recorded. RiverCreek Phase 3 and Recreation Site Development Orders (District ) (DOS2023-E003 & Pending DO for Phase III) 12840 Corkscrew Road and 20161 Camellia Crosse Lane Applicant seeks to construct 200 single family homes on 56.25 acres as Phase III of the RiverCreek Development. Applicant also seeks to review the recreational campus located on Tract ""A"". Recreational amenities include a 14,546 S.F. clubhouse, pickleball, tennis, basketball and bocce courts, play area and a",Needs Geocode
11,739,103,132,20161 Camellia Crosse Lane,"20161 Camellia Crosse Lane, Estero, FL",address_regex,"20161 Camellia Crosse Lane, Estero, FL","No formal action recorded. RiverCreek Phase 3 and Recreation Site Development Orders (District ) (DOS2023-E003 & Pending DO for Phase III) 12840 Corkscrew Road and 20161 Camellia Crosse Lane Applicant seeks to construct 200 single family homes on 56.25 acres as Phase III of the RiverCreek Development. Applicant also seeks to review the recreational campus located on Tract ""A"". Recreational amenities include a 14,546 S.F. clubhouse, pickleball, tennis, basketball and bocce courts, play area and a",Needs Geocode
12,746,104,134,22961 Lyden Drive,"22961 Lyden Drive, Estero, FL",address_regex,"22961 Lyden Drive, Estero, FL","No formal action recorded. Zoning Amendment - LB Estero Bay Investments, LLC/Coconut Trace CPD (DCI2022-E002) (District 2) 22951-22961 Lyden Drive, 3.5-acre vacant property located across from the Coconut Point Mall and south of Vandenberg Way. Applicant is seeking an amendment to change the Commercial Planned Development Schedule of Uses so that general real estate offices are a permitted use on Tracts C and D. Staff Presentation/Comments Mary Gibbs, Community Development Director Presentation/",Needs Geocode
13,767,107,139,10351 Corkscrew Commons Drive,"10351 Corkscrew Commons Drive, Estero, FL",address_regex,"10351 Corkscrew Commons Drive, Estero, FL","No formal action recorded. Celebree School (District 4) 10351 Corkscrew Commons Drive. The property is located north of Corkscrew Road and west of Corkscrew Crossings Boulevard. The building previously operated as a Goodwill Retail & Donation Center. The applicant seeks a Development Order that will modify the original site plan by replacing the loading zone with a playground and changing the color scheme of the building. Staff Presentation/Comments Mary Gibbs, Community Development Director Pre",Needs Geocode
14,957,131,145,19511 Highlands Oaks Drive,"19511 Highlands Oaks Drive, Estero, FL",address_regex,"19511 Highlands Oaks Drive, Estero, FL","No formal action recorded. Lee Health Medical Building - Shoppes at University Highlands (DOS2021-E003) (District 5) 19511 Highlands Oaks Drive, located on the southwest corner of Everblades Parkway South and Ben Hill Griffin Parkway. Request Development Order to build a 20,000± square foot medical building on a vacant parcel which is part of the partially developed Shoppes at University Highlands. A Public Information Meeting was held January 27, 2021. Staff Presentation/Comments: Mary Gibbs, C",Needs Geocode
15,965,133,147,10251 Arcos Avenue,"10251 Arcos Avenue, Estero, FL",address_regex,"10251 Arcos Avenue, Estero, FL",Recommended approval to the Village Council with staff conditions and the additional modifications to the Pattern Book and phasing conditions,Needs Geocode
16,969,134,131,12840 Corkscrew Road,"12840 Corkscrew Road, Estero, FL",address_regex,"12840 Corkscrew Road, Estero, FL",Approved the Development Order with the staff conditions,Needs Geocode
17,969,134,132,20161 Camellia Crosse Lane,"20161 Camellia Crosse Lane, Estero, FL",address_regex,"20161 Camellia Crosse Lane, Estero, FL",Approved the Development Order with the staff conditions,Needs Geocode
18,1184,154,156,20318 Sherrill Lane,"20318 Sherrill Lane, Estero, FL",address_regex,"20318 Sherrill Lane, Estero, FL","Approved the lien mitigation request from Ms. Hernandez releasing any outstanding liens against the Property in exchange for payment of a reduced fine of $5,000.00 and $327.20 for administrative cost",Needs Geocode
19,1216,160,162,23161 Village Shops Way,"23161 Village Shops Way, Estero, FL",address_regex,"23161 Village Shops Way, Estero, FL",Approved the Resolution expanding the COP premises as described with the five conditions in the staff recommendation with the addition of the sixth condition of a minimum of 60- inches clear space be cleared for a walking area between the curb and the barrier of the outdoor seating,Needs Geocode
20,1229,161,167,00023 Via Coconut Ordinance No,"00023 Via Coconut Ordinance No, Estero, FL",address_regex,"00023 Via Coconut Ordinance No, Estero, FL",The case was continued to a future date,Needs Geocode
21,1232,162,145,19511 Highlands Oaks Drive,"19511 Highlands Oaks Drive, Estero, FL",address_regex,"19511 Highlands Oaks Drive, Estero, FL",Approved the Development Order with the stipulation staff is given a color sample of the stone and make sure it is coordinated with base color,Needs Geocode
